rank,wcaId,name,single,average,single_score,average_score
1,2012PARK03,Max Park,231.02,253.13,97.14,96.98
2,2016KOLA02,Tymon Kolasiński,251.14,273.03,96.08,95.99
3,2009ZEMD01,Feliks Zemdegs,252.68,273.26,95.98,95.97
4,2009HAYS01,Kevin Hays,262.03,296.07,95.4,94.58
5,2012BEAH01,Ciarán Beahan,262.14,284.12,95.39,95.34
6,2018BERE01,János Bereczki,273.99,293.86,94.56,94.73
7,2013NAHM01,Seung Hyuk,274.97,288.68,94.49,95.06
8,2013KEJR01,Aryan Kejriwal,280.82,317.08,94.04,93.03
9,2010WEYE02,Sebastian Weyer,289.53,318.77,93.34,92.89
10,2010KADD01,Abdelhak Kaddour,290.3,325.84,93.27,92.31
11,2006HALC01,Michał Halczuk,290.52,327.37,93.25,92.18
12,2013WANG67,Xuming Wang,291.64,328.27,93.16,92.1
13,2012ZHAN08,Anyu Zhang,294.51,324.26,92.91,92.44
14,2014BAND04,Mahith Bandi,294.66,336.91,92.89,91.33
15,2013FURL01,Mattia Furlan,295.27,321.5,92.84,92.67
16,2016NUNE11,Brandon Nunez,295.95,331.63,92.78,91.81
17,2010WANG68,Bill Wang,296.47,323.26,92.73,92.53
18,2014LOKW01,Wong Kin,296.49,328.47,92.73,92.08
19,2010WUIF01,Yi-Fan Wu,299.31,335.77,92.48,91.43
20,2015TELL01,Pedro Alejandro,300.32,333.95,92.39,91.6
21,2015ZHAR01,Alexey Zharikov,300.77,324.08,92.34,92.46
22,2015XION03,Max Xiong,302.65,325.5,92.17,92.34
23,2012HUAN12,Ping-Yueh Huang,302.92,339.15,92.14,91.12
24,2009KONV01,Asia Konvittayayotin,303.62,328.71,92.08,92.06
25,2015LIUZ07,Zixuan Liu,306.1,340.45,91.84,91.0
26,2015WEIB03,Benjamin Wei,306.96,333.01,91.76,91.68
27,2012PONC02,Patrick Ponce,309.63,338.43,91.5,91.19
28,2015FUSH01,Firstian Fushada,309.71,338.06,91.49,91.22
29,2012TYCK01,Luke Tycksen,309.75,336.56,91.49,91.36
30,2013EGDA02,Martin Vædele,311.57,344.2,91.3,90.65
31,2019ZHOU51,Zhangshuai Zhou,312.91,336.44,91.17,91.37
32,2007VALK01,Mats Valk,312.94,339.68,91.17,91.07
33,2012WESC01,Lucas Wesche,313.23,341.77,91.14,90.88
34,2015LEON02,Ivan Li,313.82,338.02,91.08,91.23
35,2014JAYE01,Eli Jay,313.85,347.86,91.07,90.29
36,2015WANG09,Kai-Wen Wang,314.64,345.79,90.99,90.49
37,2017TRAN25,Celine Tran,316.25,359.67,90.83,89.09
38,2012MAHV01,Paul Mahvi,317.01,339.39,90.75,91.1
39,2017TANG35,Yu Tang,317.09,346.26,90.74,90.45
40,2012STAN04,Simon Stannek,317.24,339.08,90.73,91.13
41,2010SUGA01,Sei Sugama,317.28,347.96,90.72,90.28
42,2008WUKU01,Kuo-Hau Wu,317.68,352.74,90.68,89.8
43,2012WENI01,Ivan Lew,317.85,343.17,90.66,90.74
44,2016HART02,Sean Hartman,318.06,349.95,90.64,90.08
45,2017SIAU02,Max Siauw,319.51,347.9,90.49,90.29
46,2012KALE01,Przemysław Kaleta,319.62,349.2,90.48,90.16
47,2015GROH02,Matěj Grohmann,319.65,351.3,90.47,89.95
48,2013SUKA01,Kai Su,320.79,348.18,90.35,90.26
49,2013GERH01,Kevin Gerhardt,321.15,349.18,90.31,90.16
50,2009LIUE01,Evan Liu,321.67,358.46,90.26,89.21
51,2010YINF01,Fung Hoi,322.1,358.74,90.21,89.18
52,2016CHAP04,Stanley Chapel,322.87,360.22,90.13,89.03
53,2014YELI01,Maksym Yeli,323.32,345.49,90.08,90.52
54,2010WHIT05,Zachary White,323.34,341.97,90.08,90.86
55,2015DRIS02,Ryan Driscoll,323.68,355.74,90.04,89.5
56,2013KLEI03,Livia Kleiner,323.9,360.34,90.02,89.01
57,2016GONZ52,Gabriel Santiago,324.13,351.97,89.99,89.88
58,2017PARK05,DongSu Park,324.21,346.19,89.98,90.45
